row,target,prediction,exact_match,is_homophone,n_subs,n_resolved_by_grammar,homophone_subs,near_homophone_subs,other_subs,grammar_explanations
724,IT DIDN'T SURVIVE,IT DIDN'T SURVIVE,True,False,0,0,0,0,0,
725,SO YOU SHOULD BE,SO YOU SHOULD BE,True,True,0,0,0,0,0,
726,RIGHT ON THE FRONT,RIGHT ON THE FRONT,True,True,0,0,0,0,0,
727,TWICE DURING THE FIRST WORLD WAR,TWICE DURING THE FIRST WORLD WAR,True,True,0,0,0,0,0,
728,SHE NEVER LET ON,SHE NEVER LET ON,True,False,0,0,0,0,0,
729,SO YOU KNOW WHO HE REALLY IS,SO YOU KNOW WHO HE REALLY IS,True,True,0,0,0,0,0,
730,THIS COULD BE A FIRST CLASS ROUTINE,THIS COULD BE A FIRST CLASS ROUTINE,True,True,0,0,0,0,0,
731,EVERYONE ON THE SHOW REALLY,EVERYONE ON THE SHOW REALLY,True,False,0,0,0,0,0,
732,WITH WHITE CHRISTMAS,WITH WHITE CHRISTMAS,True,True,0,0,0,0,0,
733,ALTHOUGH I CAN'T IMAGINE WHY,ALTHOUGH I CAN'T IMAGINE WHY,True,True,0,0,0,0,0,
734,BECAUSE I JUST WANT TO HELP,BECAUSE I JUST WANT TO HELP,True,True,0,0,0,0,0,
735,PROJECT MANAGEMENT IS REALLY MY SPECIALIST AREA,PROJECT MANAGEMENT IS REALLY MY SPECIALIST AREA,True,False,0,0,0,0,0,
736,TO BE COMPLETELY HONEST,TO BE COMPLETELY HONEST,True,True,0,0,0,0,0,
737,THE SHEER SIZE AND POWER CAN BE INTIMIDATING,THE SHEER SIZE AND POWER CAN BE INTIMIDATING,True,True,0,0,0,0,0,
738,BUT THERE WAS EVEN BETTER NEWS,BUT THERE WAS EVEN BETTER NEWS,True,True,0,0,0,0,0,
739,REPRESENTED BY THIS BUNCH OF BANANAS,REPRESENTED BY THIS BUNCH OF BANANAS,True,True,0,0,0,0,0,
740,IT'S DOWN TO OUR BRAIN GETTING THINGS WRONG,IT'S DOWN TO OUR BRAIN GETTING THINGS WRONG,True,True,0,0,0,0,0,
741,HE WAS ABOUT TO FIND OUT,HE WAS ABOUT TO FIND OUT,True,True,0,0,0,0,0,
742,THE FORCES OF NATURE SEPARATE OUT,THE FORCES OF NATURE SEPARATE OUT,True,False,0,0,0,0,0,
743,NEUTRONS AND ELECTRONS,NUTRONS AND ELECTRONS,False,False,1,0,0,0,1,
744,BUT WHEN YOU OPEN THE BOX,BUT WHEN YOU OPEN THE BOX,True,True,0,0,0,0,0,
745,THAT'S NOT RIGHT,THAT'S NOT RIGHT,True,True,0,0,0,0,0,
746,IN THIS UNIVERSE,IN THIS UNIVERSE,True,True,0,0,0,0,0,
747,AND IT MIGHT SEEM RIDICULOUS,AND IT MIGHT SEEM RIDICULOUS,True,False,0,0,0,0,0,
748,12 MILES IN DIAMETER,12 MILES IN DIAMETER,True,True,0,0,0,0,0,
749,STRETCHING BACK 3,STRETCHING BACK THREE,False,False,1,0,0,0,1,
750,STAGGERING ON THE EDGE OF SPACE,STAGGERING ON THE EDGE OF SPACE,True,False,0,0,0,0,0,
751,PONDERING THE IMMENSITY,PONDERING THE IMMANENCE,False,False,1,0,0,0,1,
752,WE LIVE IN A TINY,WE LIVE IN A TINY,True,True,0,0,0,0,0,
753,YOU THINK I DID THIS,YOU THINK I DID THIS,True,True,0,0,0,0,0,
754,IT'S ALL ABOUT RARITY,IT'S ALL ABOUT RETIREMENT,False,False,1,0,0,0,1,
755,AS OPPOSED TO CHINESE,AS OPPOSED TO CHINESE,True,True,0,0,0,0,0,
756,BUT I COULDN'T BELIEVE IT WOULD BE TRUE,BUT I COULDN'T BELIEVE IT WOULD BE TRUE,True,True,0,0,0,0,0,
757,IF YOU'VE GOT A GOOD STORY,IF YOU'VE GOT A GOOD STORY,True,True,0,0,0,0,0,
758,AND THE MAN WHO MADE THE DISCOVERY,AND THE MAN WHO MADE THE DISCOVERY,True,True,0,0,0,0,0,
759,BUT EVERYONE GOING INTO THE DEN GETS A FRESH CHANCE TO TURN THINGS ROUND,BUT EVERYONE GOING INTO THE DEN GETS A FRESH CHANCE TO TURN THINGS ROUND,True,True,0,0,0,0,0,
760,YOU JUST HAVE TO GRAB AN OPPORTUNITY WHEN IT PRESENTS ITSELF,YOU JUST HAVE TO GRAB AN OPPORTUNITY WHEN IT PRESENTS ITSELF,True,True,0,0,0,0,0,
761,BUT SLIGHTLY REBELLIOUS SOCKS,BUT SLIGHTLY REBELLIOUS SAX,False,True,1,0,0,0,1,
762,DON'T FORGET THAT SCARECROW,DON'T FORGET THAT SCARCROW,False,False,1,0,0,0,1,
763,MAYBE TO SOMEWHERE NICE AND SAFE,MAYBE TO SOMEWHERE NICE AND SAFE,True,True,0,0,0,0,0,
764,I'M NOT SURE WHAT'S THE MOST DIFFICULT THING TO GET RIGHT,I'M NOT SURE WHAT'S THE MOST DIFFICULT THING TO GET RIGHT,True,True,0,0,0,0,0,
765,GARDENS NEVER FINISH,GARDENS NEVER FINISH,True,False,0,0,0,0,0,
766,YOU SHOULD NEVER BE PUT OFF,YOU SHOULD NEVER BE PUT OFF,True,True,0,0,0,0,0,
767,PEOPLE GETTING IN TOUCH AND WANTING TO RECTIFY WRONGS,PEOPLE GETTING IN TOUCH AND WANTING TO WRECK A FIRE ONGS,False,True,2,0,0,0,2,
768,THERE ARE TIMES I LIKE TO LISTEN TO BANANARAMA,THERE ARE TIMES I LIKE TO LISTEN TO BANANARAMA,True,True,0,0,0,0,0,
769,AND YET THAT AND FISH AND CHIPS,AND YET THAT AND FISH AND CHIPS,True,False,0,0,0,0,0,
770,LET'S JUST CALM DOWN,LET'S JUST CALM DOWN,True,False,0,0,0,0,0,
771,THE DAY JUST GOT WEIRDER AND WEIRDER,THE DAY JUST GOT WEIRD AND WEIRDER,False,True,1,0,0,0,1,
772,BACK TO THE HISTORY BOOKS,BACK TO THE HISTORY BOOKS,True,True,0,0,0,0,0,
773,IT'S PRACTICALLY A VEGETARIAN,IT'S PRACTICALLY A VEGETARIAN,True,False,0,0,0,0,0,
774,HOW DOES THE PLANT ATTRACT THE BAT,HOW DOES THE PLANT ATTRACT THE BAT,True,True,0,0,0,0,0,
775,THE BAT BENEFITS,THE BAT BENEFITS,True,True,0,0,0,0,0,
776,IT'S ALSO COME UP WITH A STRUCTURE THAT ACTS AS AN ADVERTISEMENT WHICH SAYS,IT'S ALSO COME UP WITH A STRUCTURE THAT ACTS AS AN ADVERTISMENT WHICH SAYS,False,True,1,0,0,0,1,
777,THIS IS THE BEST BAT HOTEL IN TOWN,THIS IS THE BEST BAT HOTEL IN TOWN,True,True,0,0,0,0,0,
778,THAT'S WHY I GET UP IN THE MORNING,THAT'S WHY I GET UP IN THE MORNING,True,True,0,0,0,0,0,
779,ALL IN THE GLARE OF THE SPOTLIGHT,ALL IN THE GLARE OF THE SPOTLIGHT,True,True,0,0,0,0,0,
780,SO WHAT DID YOU DO BEFORE,SO WHAT DID YOU DO BEFORE,True,True,0,0,0,0,0,
781,BUT YOU HAVE TO GO,BUT YOU HAVE TO GO,True,True,0,0,0,0,0,
782,AND SHE WAS BEING INTERVIEWED BY THE AMERICAN JOURNALISTS,AND SHE WAS BEING INTERVIEWED BY THE AMERICAN JOURNALISTS,True,True,0,0,0,0,0,
783,IN ALL SERIOUSNESS,IN ALL SERIOUSNESS,True,True,0,0,0,0,0,
784,WE DID A DIFFERENT VERSION OF THINGS AND THEN,WE DID A DIFFERENT VERSION OF THINGS AND THEN,True,True,0,0,0,0,0,
785,AND THEN TURNED TO ME AND SAID,AND THEN TURNED TO ME AND SAID,True,True,0,0,0,0,0,
786,I HADN'T THOUGHT THAT,I HADN'T THOUGHT THAT,True,True,0,0,0,0,0,
787,PLAYED BY JIM BROADBENT,PLAYED BY JIM BROADBENT,True,True,0,0,0,0,0,
788,EVERY TWO WEEKS,EVERY TWO WEEKS,True,True,0,0,0,0,0,
789,THAT'S WHAT THEY DO,THAT'S WHAT THEY DO,True,True,0,0,0,0,0,
790,BEFORE WE BEGIN,BEFORE WE BEGIN,True,True,0,0,0,0,0,
791,AND ON THIS FATEFUL EVENING,AND ON THIS FATEFUL EVENING,True,False,0,0,0,0,0,
792,I DON'T BELIEVE IN FAIRIES,I DON'T BELIEVE IN FAIRIES,True,True,0,0,0,0,0,
793,THEN WE MUST RESCUE HER,THEN WE MUST RESCUE HER,True,True,0,0,0,0,0,
794,AND WITH STEALTH,AND WITH STELLA,False,False,1,0,0,0,1,
795,HE MADE A MOVE ON ME,HE MADE A MOVE ON ME,True,True,0,0,0,0,0,
796,WE'VE NOT DISCUSSED IT,WE'VE NOT DISCUSSED IT,True,True,0,0,0,0,0,
797,AND WE RUN LOVE,AND WE RUN LOVE,True,True,0,0,0,0,0,
798,HOW DO I CHOOSE THIS,HOW DO I CHOOSE THIS,True,True,0,0,0,0,0,
799,WE'VE GOT 24 CHARACTERS,WE'VE GOT 24 CHARACTERS,True,False,0,0,0,0,0,
800,FOLLOWING THOSE WORDS,FOLLOWING THOSE WORDS,True,False,0,0,0,0,0,
801,I THINK YOU DESERVE,I THINK YOU DESERVE,True,True,0,0,0,0,0,
802,A STRIKING CONTRAST,A STRIKING CONTRAST,True,False,0,0,0,0,0,
803,VERY SIMILAR TO FISHING,VERY SIMILAR TO FISHING,True,True,0,0,0,0,0,
804,IT'S LIKE LOOKING AT ART,IT'S LIKE LOOKING AT ART,True,False,0,0,0,0,0,
805,IT MIGHT BE CONCEPTUAL,IT MIGHT BE CONCEPTUAL,True,True,0,0,0,0,0,
806,HERE'S SOME IDEAS,HERE'S SOME IDEAS,True,True,0,0,0,0,0,
807,A PLACE WHICH IS HARD TO LIVE,A PLACE WHICH IS HARD TO LIVE,True,True,0,0,0,0,0,
808,AND THE FARMERS OPENING IT UP,AND THE FARMERS OPENING IT UP,True,False,0,0,0,0,0,
809,SO WHEN THE FARMERS COME,SO WHEN THE FARMERS COME,True,True,0,0,0,0,0,
810,THERE'S MORE WOODLAND,THERE'S MORE WOODLAND,True,True,0,0,0,0,0,
811,DON'T TELL ANYONE,DON'T TELL ANYONE,True,False,0,0,0,0,0,
812,WE HAVE NO MORE MONEY,WE HAVE NO MORE MONEY,True,True,0,0,0,0,0,
813,WE ARE THE CRIMINALS,WE ARE THE CRIMINALS,True,True,0,0,0,0,0,
814,NO MORE SUICIDE BOMBERS,NO MORE SUICIDE BOMBERS,True,True,0,0,0,0,0,
815,THAT'S ACCORDING TO THE POLICE WATCHDOG,THAT'S ACCORDING TO THE POLICE WATCHDOG,True,True,0,0,0,0,0,
816,THE QUEEN MARY AND THE QUEEN ELIZABETH,THE QWEEN MARY AND THE QUEEN ELIZABETH,False,True,1,0,0,0,1,
817,ITS DESIGN VALUES,ITS DESIGN VALUES,True,False,0,0,0,0,0,
818,THEY WERE IN THE MINORITY,THEY WERE IN THE MINORITY,True,True,0,0,0,0,0,
819,500 TONS OF OCEAN LINER,500 TONS OF OCEAN LINER,True,True,0,0,0,0,0,
820,ONE OF THE ARTICLES HERE IS ABOUT THE QUEEN ELIZABETH,ONE OF THE ARTICLES HERE IS ABOUT THE QUEEN ELIZABETH,True,True,0,0,0,0,0,
821,THE JOB WAS DONE,THE JOB WAS DONE,True,True,0,0,0,0,0,
822,FLOWERS AND EVEN VEGETABLES,FLOWERS AND EVEN VEGETABLES,True,False,0,0,0,0,0,
823,FOR SOMETHING COMPLETELY DIFFERENT,FOR SOMETHING COMPLETELY DIFFERENT,True,True,0,0,0,0,0,
824,WHEN IT COMES TO PUBLICITY,WHEN IT COMES TO PUBLICITY,True,True,0,0,0,0,0,
825,HOW GREAT IS THIS,HOW GREAT IS THIS,True,False,0,0,0,0,0,
826,I JUST LOVE THAT,I JUST LOVE THAT,True,True,0,0,0,0,0,
827,THEY WERE FRIENDS,THEY WERE FRIENDS,True,False,0,0,0,0,0,
828,TO BE A SUCCESSFUL ENTREPRENEUR,TO BE A SUCCESSFUL ENTREPRENEUR,True,True,0,0,0,0,0,
829,I JUST DON'T GET IT,I JUST DON'T GET IT,True,True,0,0,0,0,0,
830,AND I THINK THIS IS ONE,AND I THINK THIS IS ONE,True,True,0,0,0,0,0,
831,IT'LL MEAN MORE MATCHES,IT'LL MEAN MORE MATCHES,True,True,0,0,0,0,0,
832,AND MORE MONEY FOR FIFA,AND MORE MONEY FOR NHS,False,True,1,0,0,0,1,
833,PLEASED WITH HIMSELF,PLEASED WITH HIMSELF,True,False,0,0,0,0,0,
834,SERBIA IS PANDEMONIUM LET LOOSE,SERBIA IS PANDEMONIUM LET LOOSE,True,False,0,0,0,0,0,
835,THERE ARE NO RECORDINGS OF LLOYD GEORGE AT THE PEAK OF HIS POWERS,THERE ARE NO RECORDINGS OF LOYD GEORGE AT THE PEAK OF HIS POWERS,False,True,1,0,1,0,0,
836,WHICH WAS THE MASS NEWSPAPER,WHICH WAS THE MASS NEWSPAPER,True,True,0,0,0,0,0,
837,AND HE WAS VERY DEVOTED TO HIS CHILDREN,AND HE WAS VERY DEVOTED TO HIS CHILDREN,True,True,0,0,0,0,0,
838,AND WOULD EVENTUALLY MARRY HER AFTER HIS WIFE,AND WOULD EVENTUALLY MARRY HER AFTER HIS WIFE,True,True,0,0,0,0,0,
839,WITH THAT FLOURISH,WITH THAT FLURRY,False,False,1,0,0,0,1,
840,WHAT YOU NEED TO DO IS GET THE VERY BEST BRAINS,WHAT YOU NEED TO DO IS GET THE VERY BEST BRAINS,True,True,0,0,0,0,0,
841,THE VERY BEST TALENTS,THE VERY BEST TALENTS,True,True,0,0,0,0,0,
842,THE MOST ENERGETIC PEOPLE IN,THE MOST ENERGETIC PEOPLE IN,True,True,0,0,0,0,0,
843,BECAUSE THE EMPIRE,BECAUSE THE EMPIRE,True,False,0,0,0,0,0,
844,IT'S OFTEN FORGOTTEN,IT'S OFTEN FORGOTTEN,True,False,0,0,0,0,0,
845,WHICH IS ABSOLUTELY UNDERSTANDABLE,WHICH IS ABSOLUTELY UNDERSTANDABLE,True,True,0,0,0,0,0,
846,HE HOPED TO RETURN TO POWER,HE HOPED TO RETURN TO POWER,True,True,0,0,0,0,0,
847,WOULD NOT BE A HAPPY PLACE,WOULD NOT BE A HAPPY PLACE,True,True,0,0,0,0,0,
848,DEPENDED ON TRADE,DEPENDED ON TRADE,True,False,0,0,0,0,0,
849,MY GREAT GREAT GRANDFATHER,MY GREAT GREAT GRANDFATHER,True,False,0,0,0,0,0,
850,MUCH MORE DRIVEN,MUCH MORE DRIVEN,True,True,0,0,0,0,0,
851,IF IT GIVES ME SOME SORT OF CONTROL BACK,IF IT GIVES ME SOME SORT OF CONTROL BACK,True,True,0,0,0,0,0,
852,WITH STRONG WINDS,WITH STRONG WINDS,True,False,0,0,0,0,0,
853,I DON'T REMEMBER THAT HAPPENING BEFORE,I DON'T REMEMBER THAT HAPPENING BEFORE,True,True,0,0,0,0,0,
854,BY SOME MIRACLE,BUY SOME MIRACLE,False,True,1,0,1,0,0,
855,COMES FROM ONE OF THE MOST BEAUTIFUL PARTS OF THE WORLD,COMES FROM ONE OF THE MOST BEAUTIFUL PARTS OF THE WORLD,True,True,0,0,0,0,0,
856,IT'S NOT A MASSIVE SUM OF MONEY,IT'S NOT A MASSIVE SUM OF MONEY,True,True,0,0,0,0,0,
857,I WOULDN'T SAY I'M A STAR,I WOULDN'T SAY I'M A STAR,True,True,0,0,0,0,0,
858,MANCHESTER UNITED FANS,MANCHESTER UNITED FANS,True,False,0,0,0,0,0,
859,SET UP BY THE GOVERNMENT,SET UP BY THE GOVERNMENT,True,True,0,0,0,0,0,
860,IT WAS A BRUTAL EXPERIENCE,IT WAS A BRUTAL EXPERIENCE,True,False,0,0,0,0,0,
861,MANY PEOPLE DID SLIP AND FALL AND BREAK A LEG,MANY PEOPLE DID SLIP AND FALL AND BREAK A LEG,True,True,0,0,0,0,0,
862,THEY KEPT LIVING,THEY KEPT LIVING,True,False,0,0,0,0,0,
863,AND IN THE MORNING,AND IN THE MORNING,True,True,0,0,0,0,0,
864,IN EXACT DETAIL,IN EXACT DETAIL,True,True,0,0,0,0,0,
865,AND THE SECOND GENERATION,AND THE SECOND GENERATION,True,False,0,0,0,0,0,
866,BEEN INTENSELY SAD,BEEN INTENSELY SAD,True,True,0,0,0,0,0,
867,AND ALL THE SURVIVORS OF THE HOLOCAUST,AND ALL THE SURVIVORS OF THE HOLOCAUST,True,False,0,0,0,0,0,
868,WITH THEIR DATABASE,WITH THEIR DATA BASE,False,True,1,0,0,0,1,
869,GET A NEW LOYAL CUSTOMER AND DEBENHAMS,GET A NEW LOYAL CUSTOMER AND DEBINOMES,False,True,1,0,0,0,1,
870,AS LONG AS THEY SEE THE SPARK OF SUCCESS,AS LONG AS THEY SEE THE SPARK OF SUCCESS,True,True,0,0,0,0,0,
871,THERE WAS A STONE CIRCLE HERE,THERE WAS A STONE CIRCLE HERE,True,True,0,0,0,0,0,
872,THAT IS A SOLD SOUND,THAT IS A SOLD SOUND,True,False,0,0,0,0,0,
873,THERE'S PLENTY TO INDULGE IN,THERE'S PLENTY TO INDULGE IN,True,True,0,0,0,0,0,
874,SHE WAS STRUGGLING,SHE WAS STRUGGLING,True,False,0,0,0,0,0,
875,WHEN HE WENT TO LOOK FOR HER,WHEN HE WENT TO LOOK FOR HER,True,True,0,0,0,0,0,
876,25 YEARS TO COMPLETE,25 YEARS TO COMPLETE,True,True,0,0,0,0,0,
877,SHE WILL BE VERY PLEASED,SHE WILL BE VERY PLEASED,True,True,0,0,0,0,0,
878,BECAUSE THERE WAS NO ROLE MODEL,BECAUSE THERE WAS NO ROLE MODEL,True,True,0,0,0,0,0,
879,ONE MALE OFFICIAL COMMENTED,ONE MALE OFFICIAL COMMENTED,True,True,0,0,0,0,0,
880,BUT DESPITE ALL THIS,BUT DESPITE ALL THIS,True,True,0,0,0,0,0,
881,THEY CARRIED ON COMPETING,THEY CARRIED ON COMPETING,True,False,0,0,0,0,0,
882,BUT DESPITE ALL THIS,BUT DESPITE ALL THIS,True,True,0,0,0,0,0,
883,IF YOU WANT TO EXPERIENCE SOME OF THAT,IF YOU WANT TO EXPERIENCE SOME OF THAT,True,True,0,0,0,0,0,
884,INCLUDING A BABY,INCLUDING A BABY,True,False,0,0,0,0,0,
885,THIS IS A SEMIFINAL,THIS IS A SEMIFINAL,True,False,0,0,0,0,0,
886,I'M SORRY THAT DOESN'T MEET WITH YOUR APPROVAL,I'M SORRY THAT DOESN'T MEET WITH YOUR APPROVAL,True,True,0,0,0,0,0,
887,I'M NOT HAVING A GO AT YOU,I'M NOT HAVING A GO AT YOU,True,True,0,0,0,0,0,
888,I'M JUST SAYING THAT DENISE BROUGHT ME UP,I'M JUST SAYING THAT DENISE BROUGHT ME UP,True,False,0,0,0,0,0,
889,WE HAD NO MONEY,WE HAD NO MONEY,True,True,0,0,0,0,0,
890,WHEN YOU CAME BACK,WHEN YOU CAME BACK,True,True,0,0,0,0,0,
891,THAT'S WHY I'M LOSING MY VOICE,THAT'S WHY I'M LOSING MY VOICE,True,True,0,0,0,0,0,
892,IS IN THE DRYING,IS IN THE DRYING,True,True,0,0,0,0,0,
893,RIGHT IN FRONT OF ME,RIGHT IN FRONT OF ME,True,True,0,0,0,0,0,
894,WE TALKED ABOUT IT,WE TALKED ABOUT IT,True,True,0,0,0,0,0,
895,I HONESTLY DON'T KNOW WHAT TO DO,HONESTLY DON'T KNOW WHAT TO DO,False,True,0,0,0,0,0,
896,JUDGING BY WHAT I SAW TODAY,JUDGING BY WHAT I SAW TODAY,True,True,0,0,0,0,0,
897,SOME GOT WHAT THEY WANT,SOME GOT WHAT THEY WANT,True,True,0,0,0,0,0,
898,GET DOWN TO YOUR LOCAL ONE,GET DOWN TO YOUR LOCAL ONE,True,True,0,0,0,0,0,
899,HAVE YOU GOT IT,HAVE YOU GOT IT,True,True,0,0,0,0,0,
900,YOU BETTER STAY WELL AWAY FROM ME,YOU BETTER STAY WELL AWAY FROM ME,True,True,0,0,0,0,0,
901,THAT I'LL BE OK,THAT I'LL BE OK,True,True,0,0,0,0,0,
902,WE NEED TO DO SOMETHING BIGGER,WE NEED TO DO SOMETHING BIGGER,True,True,0,0,0,0,0,
903,TRYING TO BRING THEM DOWN OVER THE CENTURIES,TRYING TO BRING THEM DOWN OVER THE CENTURIES,True,True,0,0,0,0,0,
904,BUT YOU DON'T NEED TO WORRY,BUT YOU DON'T NEED TO WORRY,True,True,0,0,0,0,0,
905,THE EXPERTS DON'T KNOW WHAT CAUSED IT,THE EXPERTS DON'T KNOW WHAT CAUSED IT,True,True,0,0,0,0,0,
906,THE FATHER DIED FIVE YEARS AGO,THE FATHER DIED FIVE YEARS AGO,True,True,0,0,0,0,0,
907,IT'S ALL ABOUT MYTH MAKING,IT'S ALL ABOUT MYTH MAKING,True,False,0,0,0,0,0,
908,COME TO MY ROOM,COME TO MY ROOM,True,True,0,0,0,0,0,
909,AS THE MORNING SPREAD UPON THE MOUNTAINS,AS THE MORNING SPREAD UP ON THE MOUNTAINS,False,True,1,0,0,0,1,
910,WITH PEOPLE WITHOUT CREATING,WITH PEOPLE WITHOUT CREATING,True,False,0,0,0,0,0,
911,WITH OTHER PEOPLE,WITH OTHER PEOPLE,True,False,0,0,0,0,0,
912,AND THE INITIALS STAND FOR THE INTERNATIONAL MARXIST GROUP,AND THE INITIALS STAND FOR THE INTERNATIONAL MARKS ASSOCIATION,False,True,2,0,0,0,2,
913,AS YOU MAY KNOW,AS YOU MAY KNOW,True,True,0,0,0,0,0,
914,THIS CAME FROM THE BIG,THIS CAME FROM THE BIG,True,False,0,0,0,0,0,
915,THAT'S REALLY SAD,THAT'S REALLY SAD,True,False,0,0,0,0,0,
916,I NEED TO GET TO WORK,I NEED TO GET TO WORK,True,True,0,0,0,0,0,
917,BEFORE I ANNOUNCE THE WINNER,BEFORE I ANNOUNCE THE WINNER,True,True,0,0,0,0,0,
918,WE DON'T HAVE BROWN BEAR,WE DON'T HAVE BROWN BEAR,True,True,0,0,0,0,0,
919,IF THE ANSWER IS NO,IF THE ANSWER IS NO,True,True,0,0,0,0,0,
920,WE MAY ENJOY THE THRILL OF MORE REGULAR SIGHTINGS,WE MAY ENJOY THE THRILL OF MORE REGULAR SIGHTINGS,True,True,0,0,0,0,0,
921,WHAT THEIR ASPIRATIONS ARE,WHAT THEIR ASPIRATIONS ARE,True,True,0,0,0,0,0,
922,WITHOUT THE DIALOGUE,WITHOUT THE DIALOGUE,True,False,0,0,0,0,0,
923,VERY HEAVILY TAXED,VERY HEAVILY TAXED,True,True,0,0,0,0,0,
924,AND THE SCOTTISH CUSTOMERS TO BUY,AND THE SCOTTISH CUSTOMERS TO BUY,True,True,0,0,0,0,0,
925,AND IT WAS BUILT TOTALLY BY PUBLIC SUBSCRIPTION,AND IT WAS BUILT TOTALLY BY PUBLIC SUBSCRIPTION,True,True,0,0,0,0,0,
926,TODAY ALMOST 50,TODAY ALMOST 50,True,False,0,0,0,0,0,
927,THE GOVERNMENT LOOKS SET TO WIN,THE GOVERNMENT LOOKS SET TO WIN,True,True,0,0,0,0,0,
928,WHICH THE NORWEGIAN GOVERNMENT WAS SUPPORTING,WHICH THE NORWEGIAN GOVERNMENT WAS SUPPORTING,True,True,0,0,0,0,0,
929,A RATHER SPECIAL,A RATHER SPECIAL,True,False,0,0,0,0,0,
930,YOU SHOULD THINK ABOUT IT,YOU SHOULD THINK ABOUT IT,True,True,0,0,0,0,0,
931,WE FOUND OUT ABOUT THE SUFFOLK PUNCH HORSES,WE FOUND OUT ABOUT THE SUFFOLK PUNCH HORSES,True,True,0,0,0,0,0,
932,BUT IT'S A DIFFERENT TYPE OF ANIMAL I WANT TO SHOW YOU RIGHT NOW,BUT IT'S A DIFFERENT TYPE OF ANIMAL I WANT TO SHOW YOU RIGHT NOW,True,True,0,0,0,0,0,
933,THINGS LIKE THIS BECAME VERY,THINGS LIKE THIS BECAME VERY,True,True,0,0,0,0,0,
934,THE QUALITY OF THAT SLIDING ACROSS,THE QUALITY OF THAT SLIDING ACROSS,True,False,0,0,0,0,0,
935,JOIN US NEXT TIME FOR MANY MORE SURPRISES,JOIN US NEXT TIME FOR MANY MORE SURPRISES,True,True,0,0,0,0,0,
936,GOES OUT THE OTHER,GOES OUT THE OTHER,True,False,0,0,0,0,0,
937,WE DON'T CLIP IT FOR THE MONEY,WE DON'T CLIP IT FOR THE MONEY,True,True,0,0,0,0,0,
938,I DON'T REALLY MIND,I DON'T REALLY MIND,True,True,0,0,0,0,0,
939,A NEW CHANCE AT LIFE,A NEW CHANCE AT LIFE,True,True,0,0,0,0,0,
940,BUT I'M NOT SURE WHERE,BUT I'M NOT SURE WHERE,True,True,0,0,0,0,0,
941,IT'S HIGHER THAN BEFORE,IT'S HIGHER THAN BEFORE,True,True,0,0,0,0,0,
942,BUT ANOTHER STRIKING UNION,BUT ANOTHER STRIKING UNION,True,True,0,0,0,0,0,
943,THERE WAS A GLIMMER OF HOPE,THERE WAS A GLIMMER OF HOPE,True,True,0,0,0,0,0,
944,MORE OPEN MINDED PERHAPS,MORE OPEN MINDED PERHAPS,True,True,0,0,0,0,0,
945,AND MORE OPEN TO THE PARLIAMENT,AND MORE OPEN TO THE PARLIAMENT,True,True,0,0,0,0,0,
946,TO DIVIDE THE ROOM INTO TWO PARTS,TO DIVIDE THE ROOM INTO TWO PARTS,True,True,0,0,0,0,0,
947,THEN THE INVITATION,THEN THE INVITATION,True,False,0,0,0,0,0,
948,HE WAS HALFWAY THERE,HE WAS HALFWAY THERE,True,True,0,0,0,0,0,
949,PART TWO IS THE DECLARATION OF RIGHTS,PART TWO IS THE DECLARATION OF RIGHTS,True,True,0,0,0,0,0,
